Sentence,Word,Surprisal GPT-2
18,je,13.068940340931478
18,na,13.595817201487497
18,aerodrom,18.275955017681927
19,samo,19.328335844935612
19,što,46.94260149087443
19,sam,14.880423993237867
19,stigao,30.589330500511196
19,odmah,33.77196051416236
19,sam,7.428782613355983
19,morao,15.79663795606902
19,da,13.345112282521958
19,odem,23.674102782167143
19,na,12.224165705929797
19,sastanak,53.970869679772896
20,taman,19.120917779387405
20,sam,15.579572627221623
20,krenula,42.98949528461057
20,da,9.152882326419755
20,učim,33.22777373562821
20,a,14.056394524934708
20,on,5.498900115890148
20,me,7.432625159020907
20,pozvao,39.51065032896389
21,strpi,19.718737365924213
21,se,12.536172828727231
21,još,24.676463044915995
21,malo,22.325177795698462
21,samo,17.973349588095076
21,što,30.69172555431804
21,nismao,22.009939674736692
21,stigli,33.911601067555445
22,ovi,9.330440264610372
22,klinci,42.26472051115153
22,su,14.420423488848115
22,nemogući,57.6347833009371
22,niko,20.52664626609803
22,ih,13.416100514283274
22,ne,10.455184926794095
22,može,51.221378094687026
22,obuzdati,54.36255634540696
23,milan,19.21871803723642
23,je,15.363539994393271
23,ušao,42.30492137810134
23,u,8.325555228689604
23,voz,20.19504697129613
23,nekoliko,37.90241067082568
23,minuta,15.117433161370103
23,pre,12.965857277020477
23,nas,11.81459339826675
24,kompjuteri,61.24505267459328
24,su,12.503633685459109
24,prodrli,27.76006123501929
24,u,12.547159656651193
24,sve,18.775076986315383
24,oblasti,21.495114351395912
24,i,11.467117980377344
24,bez,21.46640232457558
24,njih,33.25908130202476
24,se,11.517540860005028
24,ne,10.897471746810613
24,može,41.63131903739168
25,imamo,19.85779164390661
25,još,31.65105658597471
25,četiri,50.4468479113289
25,minuta,22.568616789039037
25,vremena,27.52525728184498
25,do,5.347657630322937
25,polaska,24.106774767073453
25,voza,24.49453053292203
26,sutra,20.026852699893933
26,ćemo,44.63549660285795
26,sve,23.13278603033691
26,raditi,20.180385713852424
26,ponovo,32.31641282640407
26,pa,7.126993131434945
26,šta,28.67391619119648
26,ispadne,36.90693179679063
27,otišao,38.17268220535367
27,je,15.684958402610038
27,u,15.011617297615187
27,inostranstvo,60.07555416753309
27,prošle,28.401103667354423
27,godine,16.549941864455732
27,i,13.953211868303537
27,još,25.441405289101404
27,se,12.910542568244496
27,nije,41.783802851717915
27,vartio,42.044496681095666
28,opet,18.806457795578105
28,je,15.455007512439495
28,pijaca,43.200432894679224
28,poskupela,42.44453215301872
29,večeras,52.21836874204544
29,najavljuju,70.04041665568434
29,padavine,26.41819476937995
30,u,10.091584930385585
30,ponedeljak,64.51861220775638
30,putujem,29.159539762773687
30,na,12.527849738258567
30,frušku,26.806864510898812
30,goru,13.816993785719141
31,moja,18.913968440417356
31,karta,28.79676104310154
31,važi,46.683317130873206
31,još,20.33614073745803
31,dva,18.536981221530116
31,dana,11.886784194387324
32,naša,35.17870373531307
32,kola,26.489100526862533
32,su,14.048835632046018
32,stara,19.669202493465622
32,10,8.623137892152867
32,godina,25.78677620245875
33,sutra,19.4903112415345
33,se,14.891923704896609
33,završava,61.44920895292347
33,školska,46.16236119230319
33,godina,13.76092916962139
34,preko,19.32719712795014
34,leta,28.266168717840305
34,ću,36.16584600256286
34,biti,18.980592010307912
34,u,12.786741339800814
34,beogradu,30.811323479110836
35,nismo,17.78594669968885
35,u,15.408703772493055
35,kontaktu,50.682961876109744
35,više,33.920975422313674
35,od,12.859425291837683
35,godinu,17.70830710817873
35,dana,22.283588380972652
36,u,8.452687456610981
36,braku,24.483274539894648
36,smo,28.092377448492726
36,već,22.446933478073003
36,devet,19.49301332236746
36,godina,25.143066652763697
37,za,8.801269163693647
37,osam,26.182026145400002
37,minuta,30.56225910126014
37,počinje,43.903843681544046
37,predstava,33.213131861331206
38,večeras,51.93249243964238
38,mora,29.27659225579704
38,da,9.113254793116555
38,donese,21.09344285995741
38,odluku,33.34734438527279
38,o,7.940098926956603
38,njegovoj,54.498621138867136
38,smeni,26.880529585088343
39,o,9.531266839976485
39,toj,26.40418412836502
39,aferi,43.69593923028872
39,novine,21.1109261178761
39,su,9.332485280316341
39,pisale,32.58161050034096
39,danima,13.081914185914394
40,dugo,19.77628858348703
40,vremena,40.85823117633318
40,nismo,22.77159287911906
40,ovde,18.642886995449764
40,bili,24.994622163278873
41,gotovo,19.71744346786146
41,je,15.128604669955779
41,sve,28.507407307995486
41,možete,41.41821326941167
41,početi,40.56908197985512
41,sa,5.632506461238713
41,pričom,36.41011961982879
42,kada,19.606323604535486
42,završi,68.20985388013362
42,sa,11.48114697845762
42,sastankom,41.00941350207501
42,javiće,35.35768526776762
42,nam,23.95871066041388
42,rezultate,51.77861422483671
43,malo,20.559445457853545
43,pre,15.63165407150256
43,sam,15.12536519413182
43,se,14.085485574051697
43,čuo,35.060281984499504
43,sa,9.434306591441764
43,njim,33.01489638650117
43,i,5.445080277009612
43,on,5.494956801343309
43,mi,9.490217506779922
43,je,12.974209044536442
43,sve,22.826816819286677
43,ispričao,48.532621570398256
44,kada,19.186978043636582
44,se,15.959728174427237
44,vratim,43.46185121737611
44,sa,8.855451285711792
44,posla,20.172313548607786
44,svratiću,43.786400471902624
44,do,9.759605479841793
44,tebe,25.232085318726277
45,upravo,31.937751242656066
45,su,14.562102298084483
45,mi,14.091198864990398
45,javili,33.6711823838776
45,da,9.117107917934819
45,treba,26.279988033839636
45,da,5.0674278444090595
45,dođem,35.16841363591344
45,sutra,22.669381500977586
46,prelazio,49.96498851203158
46,je,13.078527489001507
46,ulicu,34.124060585764504
46,naspram,35.61306014924684
46,one,5.796353730875463
46,tek,11.904661413505274
46,renovirane,32.53715765381671
46,buregdzinice,60.93447243449953
47,dok,19.62613493791039
47,se,15.768837865775406
47,saginjao,50.28408397503889
47,umalo,21.35359587523248
47,ga,12.718959851662852
47,ne,13.834607777967838
47,zgazi,19.20616255752113
47,ljubin,45.10746515048558
47,ford,23.766094976820312
48,vratiću,44.50069787058897
48,se,12.595169620556272
48,brzo,20.9194195821079
49,ne,9.095278566039488
49,idem,24.66318361206615
49,danas,28.843028620012515
49,u,14.182854528412784
49,školu,52.28135247393026
50,prespavaću,54.05582646678741
50,ceo,20.57701159262686
50,dan,9.836862777543267
51,napisaću,54.60849312160495
51,mu,11.135758113376273
51,pismo,18.05161449798543
52,krećemo,48.17816073223186
52,za,27.087870659001684
52,pet,8.924822015755709
52,minuta,19.663576117664938
53,doćiće,63.37037523698374
53,nam,22.841972687035813
53,mirko,18.820333233726586
53,na,13.125575973512618
53,ručak,25.69645445618124
54,još,20.359610078050572
54,malo,30.317090581627884
54,pa,14.463783618756507
54,će,33.93518833849315
54,izbori,41.82794108801804
55,sutra,19.942260074069686
55,će,40.331395110118905
55,biti,22.831591841856067
55,27,10.127529516005264
55,u,8.04213764254107
55,hladu,29.55942391465492
56,doveče,49.09978343583308
56,je,13.272769821760003
56,žurka,43.22395809774435
56,kod,26.33036674132236
56,komšija,26.295807161766056
57,za,9.077676746760591
57,dva,25.514297682927843
57,dana,29.70022099428799
57,počinje,40.29432089672795
57,škola,39.086009481732425
58,od,10.411136593247715
58,sutra,24.62088344216656
58,smo,28.650093442013418
58,sami,21.873511349221513
58,u,10.366920853506427
58,kući,38.365932902759525
59,petar,18.818526502866856
59,će,46.091834086278276
59,doći,35.34799863378804
59,u,9.83527333678565
59,ponedeljak,46.57492729743803
60,moj,19.664804715572036
60,sin,14.181315143959985
60,ide,14.051686244173947
60,prvi,25.22041057958939
60,put,9.211093722444948
60,sam,9.993835914314486
60,na,8.311399967659357
60,more,11.908507148969829
61,demonstracije,59.75388280696657
61,su,12.75379377397804
61,opet,20.37068729696674
61,počele,33.751809503795116
62,pojavio,48.057360486866656
62,se,12.942168206092678
62,u,12.37133242007857
62,poslednjem,53.88036035690444
62,trenutku,25.741143593151307
63,sanjao,33.23391072628985
63,sam,15.245855450325271
63,te,13.549761973722346
63,pre,13.207795634414277
63,neku,20.356922427532375
63,noć,20.256125029790972
64,premijer,31.984224264493868
64,je,14.277585383622641
64,obećao,37.82826290487507
64,viši,36.479327971856655
64,standard,13.968425995928559
65,sutra,18.10211014791513
65,je,14.398655610958008
65,doček,41.954751598732265
65,nove,20.02451059291321
65,godine,20.886221912996387
66,nadam,31.679340869472938
66,se,13.018103267577134
